periodType,currencyCode,AccountsReceivable,BasicEPS,CashAndCashEquivalents,EBIT,EnterpriseValue,FreeCashFlow,GrossProfit,InvestedCapital,LongTermDebt,MarketCap,NetIncomeFromContinuingOperations,RetainedEarnings,TotalLiabilitiesNetMinorityInterest,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,31427000.0,0.0,385465000.0,49245000.0,3819916054.0,50032000.0,106175000.0,3486331000.0,1889237000.0,1727393054.0,18793000.0,-58888000.0,2728325000.0,12,2024,ESRT,10.970000267028809,11.430000305175781,10.9399995803833,11.229999542236328,6109700.0,11.101232528686523,0.0,0.0
3M,USD,31427000.0,0.0,385465000.0,49245000.0,3819916054.0,50032000.0,106175000.0,3486331000.0,1889237000.0,1727393054.0,18793000.0,-58888000.0,2728325000.0,12,2024,ESRT,11.1899995803833,11.270000457763672,9.970000267028809,10.149999618530273,6348800.0,10.033616065979004,0.035,0.0
3M,USD,31427000.0,0.0,385465000.0,49245000.0,3819916054.0,50032000.0,106175000.0,3486331000.0,1889237000.0,1727393054.0,18793000.0,-58888000.0,2728325000.0,12,2024,ESRT,10.130000114440918,10.40999984741211,9.970000267028809,10.1899995803833,3781200.0,10.104650497436523,0.0,0.0
3M,USD,31427000.0,0.0,385465000.0,49245000.0,3819916054.0,50032000.0,106175000.0,3486331000.0,1889237000.0,1727393054.0,18793000.0,-58888000.0,2728325000.0,12,2024,ESRT,10.15999984741211,10.430000305175781,9.9399995803833,10.260000228881836,3876900.0,10.174064636230469,0.0,0.0
3M,USD,29071000.0,0.06,187823000.0,42744000.0,3412671412.0,83146000.0,91507000.0,3089895000.0,1789028000.0,1314304412.0,15778000.0,-55548000.0,2328505000.0,3,2025,ESRT,9.220000267028809,9.279999732971191,8.399999618530273,8.539999961853027,10327700.0,8.46847152709961,0.0,0.0
3M,USD,29071000.0,0.06,187823000.0,42744000.0,3412671412.0,83146000.0,91507000.0,3089895000.0,1789028000.0,1314304412.0,15778000.0,-55548000.0,2328505000.0,3,2025,ESRT,8.40999984741211,8.579999923706055,7.880000114440918,8.020000457763672,6011400.0,7.952826499938965,0.035,0.0
3M,USD,29071000.0,0.06,187823000.0,42744000.0,3412671412.0,83146000.0,91507000.0,3089895000.0,1789028000.0,1314304412.0,15778000.0,-55548000.0,2328505000.0,3,2025,ESRT,8.0,8.25,7.909999847412109,7.96999979019165,7410400.0,7.937973499298096,0.0,0.0
3M,USD,29071000.0,0.06,187823000.0,42744000.0,3412671412.0,83146000.0,91507000.0,3089895000.0,1789028000.0,1314304412.0,15778000.0,-55548000.0,2328505000.0,3,2025,ESRT,8.039999961853027,8.289999961853027,7.769999980926514,7.829999923706055,4815100.0,7.79853630065918,0.0,0.0
3M,USD,0.0,-0.2,122181000.0,53901000.0,6834531606.0,59856000.0,167753000.0,7321027000.0,3164631000.0,1693320606.0,-35664000.0,-1929107000.0,5189449000.0,6,2024,GNL,7.539999961853027,7.690000057220459,7.364999771118164,7.409999847412109,4599500.0,6.296496391296387,0.0,0.0
3M,USD,0.0,-0.2,122181000.0,53901000.0,6834531606.0,59856000.0,167753000.0,7321027000.0,3164631000.0,1693320606.0,-35664000.0,-1929107000.0,5189449000.0,6,2024,GNL,7.340000152587891,7.614999771118164,7.150000095367432,7.210000038146973,6549800.0,6.126550674438477,0.0,0.0
3M,USD,0.0,-0.2,122181000.0,53901000.0,6834531606.0,59856000.0,167753000.0,7321027000.0,3164631000.0,1693320606.0,-35664000.0,-1929107000.0,5189449000.0,6,2024,GNL,7.150000095367432,7.260000228881836,7.050000190734863,7.119999885559082,9555200.0,6.050074577331543,0.0,0.0
