periodType,currencyCode,BasicAverageShares,CostOfRevenue,EBIT,FreeCashFlow,GrossProfit,InvestedCapital,OrdinarySharesNumber,OtherOperatingExpenses,RetainedEarnings,TaxEffectOfUnusualItems,TotalUnusualItems,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,164880000.0,89982000.0,53568000.0,102810000.0,109617000.0,3471338000.0,166487581.0,0.0,-64211000.0,75080.617213,1262000.0,9,2024,ESRT,10.9399995803833,11.09000015258789,10.65999984741211,10.779999732971191,3716300.0,10.699386596679688,0.0,0.0
3M,USD,0.0,91427000.0,49245000.0,50032000.0,106175000.0,3486331000.0,167383048.0,0.0,-58888000.0,71389.239872,1237000.0,12,2024,ESRT,10.979999542236328,11.010000228881836,10.779999732971191,10.890000343322754,4320800.0,10.808565139770508,0.0,0.0
3M,USD,0.0,91427000.0,49245000.0,50032000.0,106175000.0,3486331000.0,167383048.0,0.0,-58888000.0,71389.239872,1237000.0,12,2024,ESRT,10.970000267028809,11.430000305175781,10.9399995803833,11.229999542236328,6109700.0,11.146021842956543,0.0,0.0
3M,USD,0.0,91427000.0,49245000.0,50032000.0,106175000.0,3486331000.0,167383048.0,0.0,-58888000.0,71389.239872,1237000.0,12,2024,ESRT,11.1899995803833,11.270000457763672,9.970000267028809,10.149999618530273,6348800.0,10.074097633361816,0.035,0.0
3M,USD,0.0,91427000.0,49245000.0,50032000.0,106175000.0,3486331000.0,167383048.0,0.0,-58888000.0,71389.239872,1237000.0,12,2024,ESRT,10.130000114440918,10.40999984741211,9.970000267028809,10.1899995803833,3781200.0,10.145418167114258,0.0,0.0
3M,USD,0.0,91427000.0,49245000.0,50032000.0,106175000.0,3486331000.0,167383048.0,0.0,-58888000.0,71389.239872,1237000.0,12,2024,ESRT,10.15999984741211,10.430000305175781,9.9399995803833,10.260000228881836,3876900.0,10.215112686157227,0.0,0.0
3M,USD,167181000.0,88559000.0,42744000.0,83146000.0,91507000.0,3089895000.0,168069618.0,0.0,-55548000.0,2765700.0,13170000.0,3,2025,ESRT,9.220000267028809,9.279999732971191,8.399999618530273,8.539999961853027,10327700.0,8.50263786315918,0.0,0.0
3M,USD,167181000.0,88559000.0,42744000.0,83146000.0,91507000.0,3089895000.0,168069618.0,0.0,-55548000.0,2765700.0,13170000.0,3,2025,ESRT,8.40999984741211,8.579999923706055,7.880000114440918,8.020000457763672,6011400.0,7.984912872314453,0.035,0.0
3M,USD,167181000.0,88559000.0,42744000.0,83146000.0,91507000.0,3089895000.0,168069618.0,0.0,-55548000.0,2765700.0,13170000.0,3,2025,ESRT,8.0,8.25,7.909999847412109,7.96999979019165,7410400.0,7.96999979019165,0.0,0.0
3M,USD,167181000.0,88559000.0,42744000.0,83146000.0,91507000.0,3089895000.0,168069618.0,0.0,-55548000.0,2765700.0,13170000.0,3,2025,ESRT,8.039999961853027,8.289999961853027,7.769999980926514,7.829999923706055,4815100.0,7.829999923706055,0.0,0.0
3M,USD,230380574.0,35533000.0,53901000.0,59856000.0,167753000.0,7321027000.0,230805375.0,0.0,-1929107000.0,-49646.377457,-7132000.0,6,2024,GNL,7.539999961853027,7.690000057220459,7.364999771118164,7.409999847412109,4599500.0,6.457944869995117,0.0,0.0
3M,USD,230380574.0,35533000.0,53901000.0,59856000.0,167753000.0,7321027000.0,230805375.0,0.0,-1929107000.0,-49646.377457,-7132000.0,6,2024,GNL,7.340000152587891,7.614999771118164,7.150000095367432,7.210000038146973,6549800.0,6.283641815185547,0.0,0.0
3M,USD,230380574.0,35533000.0,53901000.0,59856000.0,167753000.0,7321027000.0,230805375.0,0.0,-1929107000.0,-49646.377457,-7132000.0,6,2024,GNL,7.150000095367432,7.260000228881836,7.050000190734863,7.119999885559082,9933800.0,6.205204963684082,0.0,0.0
3M,USD,230380574.0,35533000.0,53901000.0,59856000.0,167753000.0,7321027000.0,230805375.0,0.0,-1929107000.0,-49646.377457,-7132000.0,6,2024,GNL,7.139999866485596,7.369999885559082,6.989999771118164,7.349999904632568,9233900.0,6.405653953552246,0.0,0.0
3M,USD,230463241.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL,8.520000457763672,8.829999923706055,8.489999771118164,8.75,5180800.0,7.913247585296631,0.0,0.0
3M,USD,230463241.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL,8.739999771118164,8.9399995803833,8.460000038146973,8.9399995803833,4737800.0,8.085077285766602,0.0,0.0
3M,USD,230463241.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL,8.979999542236328,9.104999542236328,8.645000457763672,8.670000076293945,8791300.0,7.840897560119629,0.0,0.0
3M,USD,230463241.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL,8.760000228881836,8.930000305175781,8.529999732971191,8.539999961853027,6781200.0,7.723329544067383,0.0,0.0
3M,USD,230463241.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL,8.510000228881836,8.569999694824219,8.194999694824219,8.369999885559082,7946900.0,7.569586277008057,0.0,0.0
3M,USD,230596000.0,35619000.0,71674000.0,61954000.0,163496000.0,6704817000.0,231051139.0,0.0,-2150342000.0,1216740.0,5794000.0,12,2024,GNL,7.400000095367432,7.400000095367432,7.119999885559082,7.139999866485596,6016800.0,6.676031112670898,0.0,0.0
3M,USD,230596000.0,35619000.0,71674000.0,61954000.0,163496000.0,6704817000.0,231051139.0,0.0,-2150342000.0,1216740.0,5794000.0,12,2024,GNL,7.199999809265137,7.335000038146973,7.059999942779541,7.21999979019165,6067800.0,6.750832557678223,0.0,0.0
